batch_size;lr;optimizer;test_size;units;Epoch Stopped;Training Loss;Validation Loss;val_mape
64;0.01;Adam;0.2;8;5;0.003775913;0.002153553;5.191177368
64;0.01;Adam;0.2;16;5;0.001427707;0.001358635;4.046534061
64;0.01;Adam;0.2;32;8;0.000535002;0.000258572;1.499167085
64;0.01;Adam;0.3;8;9;0.000866041;0.000284944;1.537730098
64;0.01;Adam;0.3;16;9;0.000646331;0.000318784;1.614905119
64;0.01;Adam;0.3;32;8;0.000708983;0.000322371;1.625597358
64;0.01;Adamax;0.1;8;3;0.01534789;0.021127081;15.32093334
64;0.01;Adamax;0.1;16;13;0.000483149;0.0002115;1.278760672
64;0.01;Adamax;0.1;32;10;0.000612702;0.000249552;1.38805294
64;0.01;Adamax;0.2;8;3;0.006264418;0.005260124;7.74762249
64;0.01;Adamax;0.2;16;3;0.018361801;0.018704588;15.00453949
64;0.01;Adamax;0.2;32;11;0.000635581;0.000216064;1.328027606
64;0.01;Adamax;0.3;8;3;0.008331869;0.016980838;14.39542675
64;0.01;Adamax;0.3;16;44;0.000497654;0.000208763;1.291029334
64;0.01;Adamax;0.3;32;37;0.000582225;0.000250969;1.402114987
64;0.001;Adam;0.1;8;0;0.000490869;0.00021292;1.310012102
64;0.001;Adam;0.1;16;5;0.007279101;0.008665173;9.702915192
64;0.001;Adam;0.1;32;4;0.00527411;0.005179022;7.440658569
64;0.001;Adam;0.2;8;5;0.006001617;0.007921627;9.600523949
64;0.001;Adam;0.2;16;4;0.004743384;0.005541004;7.934566498
64;0.001;Adam;0.2;32;4;0.005306505;0.004726231;7.324168682
64;0.001;Adam;0.3;8;8;0.007440202;0.016680853;14.23531723
64;0.001;Adam;0.3;16;4;0.002408589;0.004036813;6.83523798
64;0.001;Adam;0.3;32;4;0.003651005;0.006050997;8.452439308
64;0.001;Adamax;0.1;8;0;0.000785662;0.000343957;1.68892312
64;0.001;Adamax;0.1;16;4;0.001936328;0.002297071;4.860471249
64;0.001;Adamax;0.1;32;6;0.009182451;0.012515357;11.74814034
64;0.001;Adamax;0.2;8;0;0.000549822;0.000276472;1.532401443
64;0.001;Adamax;0.2;16;0;0.000499427;0.000180325;1.234196424
64;0.001;Adamax;0.2;32;5;0.008772925;0.010668655;11.17744827
64;0.001;Adamax;0.3;8;0;0.00162951;0.002505842;5.239655018
64;0.001;Adamax;0.3;16;87;0.000612469;0.000275516;1.470263004
64;0.001;Adamax;0.3;32;6;0.005405926;0.010603182;11.29792213
