Tanggal,Penutupan
2023-05-30,"6.636,42"
2023-05-31,"6.633,26"
2023-06-05,"6.633,44"
2023-06-06,"6.618,92"
2023-06-07,"6.619,75"
2023-06-08,"6.666,33"
2023-06-09,"6.694,02"
2023-06-12,"6.722,37"
2023-06-13,"6.719,01"
2023-06-14,"6.699,72"
2023-06-15,"6.713,79"
2023-06-16,"6.698,55"
2023-06-19,"6.686,06"
2023-06-20,"6.660,46"
2023-06-21,"6.702,63"
2023-06-22,"6.652,26"
2023-06-23,"6.639,73"
2023-06-26,"6.664,67"
2023-06-27,"6.661,88"
2023-07-03,"6.696,72"
2023-07-04,"6.681,75"
2023-07-05,"6.718,98"
2023-07-06,"6.757,33"
2023-07-07,"6.716,46"
2023-07-10,"6.731,04"
2023-07-11,"6.796,92"
2023-07-12,"6.808,21"
2023-07-13,"6.810,21"
2023-07-14,"6.869,57"
2023-07-17,"6.867,14"
2023-07-18,"6.830,20"
2023-07-20,"6.864,19"
2023-07-21,"6.880,80"
2023-07-24,"6.899,40"
2023-07-25,"6.917,71"
2023-07-26,"6.948,28"
2023-07-27,"6.896,66"
2023-07-28,"6.900,23"
2023-07-31,"6.931,36"
2023-08-01,"6.886,50"
2023-08-02,"6.854,51"
2023-08-03,"6.898,08"
2023-08-04,"6.852,84"
2023-08-07,"6.886,37"
2023-08-08,"6.868,81"
2023-08-09,"6.875,11"
2023-08-10,"6.893,28"
2023-08-11,"6.879,98"
2023-08-14,"6.910,17"
2023-08-15,"6.915,10"
2023-08-16,"6.900,54"
2023-08-18,"6.859,91"
2023-08-21,"6.866,03"
2023-08-22,"6.916,45"
2023-08-23,"6.921,41"
2023-08-24,"6.899,39"
2023-08-25,"6.895,44"
2023-08-28,"6.921,73"
2023-08-29,"6.957,83"
2023-08-30,"6.966,66"
2023-08-31,"6.953,26"
2023-09-01,"6.977,65"
2023-09-04,"6.996,75"
2023-09-05,"6.991,71"
2023-09-06,"6.995,95"
2023-09-07,"6.954,81"
2023-09-08,"6.924,78"
2023-09-11,"6.963,39"
2023-09-12,"6.933,97"
2023-09-13,"6.935,48"
2023-09-14,"6.959,33"
2023-09-15,"6.982,79"
2023-09-18,"6.936,08"
2023-09-19,"6.980,32"
2023-09-20,"7.011,68"
2023-09-21,"6.991,47"
2023-09-22,"7.016,84"
2023-09-25,"6.998,38"
2023-09-26,"6.923,80"
2023-09-27,"6.937,83"
2023-09-29,"6.939,89"
2023-10-02,"6.961,46"
2023-10-03,"6.940,89"
2023-10-04,"6.886,58"
2023-10-05,"6.874,83"
2023-10-06,"6.888,52"
2023-10-09,"6.891,46"
2023-10-10,"6.922,19"
2023-10-11,"6.931,75"
2023-10-12,"6.935,15"
2023-10-13,"6.926,78"
2023-10-16,"6.896,29"
2023-10-17,"6.939,62"
2023-10-18,"6.927,91"
2023-10-19,"6.846,43"
2023-10-20,"6.849,17"
2023-10-23,"6.741,96"
2023-10-24,"6.806,76"
2023-10-25,"6.834,39"
2023-10-26,"6.714,52"
2023-10-27,"6.758,79"
2023-10-30,"6.735,89"
2023-10-31,"6.752,21"
2023-11-01,"6.642,42"
2023-11-02,"6.751,39"
2023-11-03,"6.788,85"
2023-11-06,"6.878,84"
2023-11-07,"6.843,79"
2023-11-08,"6.804,11"
2023-11-09,"6.838,23"
2023-11-10,"6.809,26"
2023-11-13,"6.838,31"
2023-11-14,"6.862,06"
2023-11-15,"6.958,21"
2023-11-16,"6.958,01"
2023-11-17,"6.977,67"
2023-11-20,"6.994,89"
2023-11-21,"6.961,79"
2023-11-22,"6.906,95"
2023-11-23,"7.004,34"
2023-11-24,"7.009,63"
2023-11-27,"7.013,41"
2023-11-28,"7.041,07"
2023-11-29,"7.036,09"
2023-11-30,"7.080,74"
2023-12-01,"7.059,91"
2023-12-04,"7.093,60"
2023-12-05,"7.100,85"
2023-12-06,"7.087,40"
2023-12-07,"7.134,62"
2023-12-08,"7.159,60"
2023-12-11,"7.088,79"
2023-12-12,"7.125,31"
2023-12-13,"7.075,34"
2023-12-14,"7.176,02"
2023-12-15,"7.190,99"
2023-12-18,"7.119,52"
2023-12-19,"7.187,85"
2023-12-20,"7.219,67"
2023-12-21,"7.209,62"
2023-12-22,"7.237,52"
2023-12-26,"7.237,52"
2023-12-27,"7.245,92"
2023-12-28,"7.303,89"
2023-12-29,"7.272,80"
2024-01-02,"7.323,59"
2024-01-03,"7.279,09"
2024-01-04,"7.359,76"
2024-01-05,"7.350,62"
2024-01-08,"7.283,58"
2024-01-09,"7.200,20"
2024-01-10,"7.227,30"
2024-01-11,"7.219,96"
2024-01-12,"7.241,14"
2024-01-15,"7.224,00"
2024-01-16,"7.242,79"
2024-01-17,"7.200,63"
2024-01-18,"7.252,97"
2024-01-19,"7.227,40"
2024-01-22,"7.247,93"
2024-01-23,"7.256,23"
2024-01-24,"7.227,82"
2024-01-25,"7.178,04"
2024-01-26,"7.137,09"
2024-01-29,"7.157,17"
2024-01-30,"7.192,22"
2024-01-31,"7.207,94"
2024-02-01,"7.201,70"
2024-02-02,"7.238,79"
2024-02-05,"7.198,62"
2024-02-06,"7.247,41"
2024-02-07,"7.235,15"
2024-02-12,"7.297,67"
2024-02-13,"7.209,74"
2024-02-15,"7.303,28"
2024-02-16,"7.335,54"
2024-02-19,"7.296,70"
2024-02-20,"7.352,60"
2024-02-21,"7.349,02"
2024-02-22,"7.339,64"
2024-02-23,"7.295,10"
2024-02-26,"7.283,82"
2024-02-27,"7.285,32"
2024-02-28,"7.328,64"
2024-02-29,"7.316,11"
2024-03-01,"7.311,91"
2024-03-04,"7.276,75"
2024-03-05,"7.247,46"
2024-03-06,"7.329,80"
2024-03-07,"7.373,96"
2024-03-08,"7.381,91"
2024-03-13,"7.421,21"
2024-03-14,"7.433,31"
2024-03-15,"7.328,05"
2024-03-18,"7.302,45"
2024-03-19,"7.336,75"
2024-03-20,"7.331,13"
2024-03-21,"7.338,35"
2024-03-22,"7.350,15"
2024-03-25,"7.377,76"
2024-03-26,"7.365,66"
2024-03-27,"7.310,09"
2024-03-28,"7.288,81"
2024-04-01,"7.205,06"
2024-04-02,"7.236,98"
2024-04-03,"7.166,84"
2024-04-04,"7.254,40"
2024-04-05,"7.286,88"
2024-04-16,"7.164,81"
2024-04-17,"7.130,84"
2024-04-18,"7.166,81"
2024-04-19,"7.087,32"
2024-04-22,"7.073,82"
2024-04-23,"7.110,81"
2024-04-24,"7.174,53"
2024-04-25,"7.155,29"
2024-04-26,"7.036,08"
2024-04-29,"7.155,78"
2024-04-30,"7.234,20"
